질문,디렉토리
194,한강 뚝섬유원지역에서 토요일마다 하는 장...,"민원, 행정"
195,민증  발급할건데여,"민원, 행정"
196,등축제 청계천~~,"민원, 행정"
197,보건증 신청을 하고 두세달 정도 잊고 있었...,의료보건제도
198,수원역에서 고척돔 가는방법좀 알려주세요,고척동
199,광진보건지소 (중곡보건지소)보건증,중곡동
200,구로구청쪽에서 차량 매입으로인해,자동차
201,2호선막차타려고하는데...,건대입구
202,경복궁 한복,"체험관광지, 유적지"
203,제가문화누리카드안에6만원?충전했는데요.....,기타
204,민방위교육은 몇시간 받는건가요?,민방위훈련
205,동사무소 관련 내공100!!!!,정부기관
206,서울지하철타는법,"교통, 길찾기"
207,버스환승가격,"시내, 광역 버스"
208,서울 강남에서 남산타워 가는방법,서울특별시
209,노량진 수산시장에 온누리상품권 받나요?,영등포구
210,서울역에서강남구청까지 택시비 얼마인가요...,태평로
211,당산역에서주엽역가기,당산동
212,일요일 서울 지하철 막차시간,녹번동
213,용산구보건분소에서 보건증 발급을 위한 검...,용산구
214,심야146번버스,노원구
215,여성안심택배함 결제 핸드폰 말고는 불가능...,택배
216,서울시청 출입 질문이요.,근로기준
217,보건증 재검사,"의료기관, 의료인"
218,보건증이란,의료보건제도
219,보건증 재발급 할려면 준비해야할것들 알려...,의료보건제도
220,송파보건소 산전검사,"의료기관, 의료인"
221,송파 보건소 산전검사,국민건강보험
222,알바 보건증,의료보건제도
223,보건증 재발급,의료보건제도
224,서울시청 청소년담당관 전화번호,중구
225,공릉역에서 문정역,공릉동
226,흡연과태료 납부,서초구
227,강서구청2017!!,기타
228,토요일 혼인신고 가능한 경북쪽에 있나요?,"연애, 결혼"
229,광진구 자양동 분리수거 요일이 어떻게되나...,기타
230,심야버스 n26 시간 질문이요~,"시내, 광역 버스"
231,분당선에 물품보관함이 어디에 있나요? 있...,"교통, 길찾기"
232,서울역에 무인민원발급기 위치를 급하게 알...,서울특별시
233,문화누리카드,금융
234,임시청소년증발급,"가족, 개인 민원"
235,청소년증 발급에 관한 질문,"아동, 청소년 복지"
236,청소년 여권발급,"여권, 비자 민원"
237,흡연과태료,기타
238,민증사진 교환,주민등록증 발급
239,보건소 산후도우미신청,의료보건제도
240,취업관련 건강진단서,의료보건제도
241,보건소에서 인바디 검사 무료 인가요?,의료보건제도
242,민증발급신청,주민등록증 발급
243,중고차 번호판 교체기간,자동차생활
244,여권 재발급,"여권, 비자 민원"
245,주민등록증 재발급에 필요한게 뭐가 있나요...,주민등록증 발급
246,청소년증 질문,고2수학
247,동사무소에서 대학성적증명서 발급가능한가...,대학생활
248,보건증 발급,주민등록증 발급
249,미성년자 보건증 인터넷 발급,아르바이트
250,혹시 화곡2동 동사무소에서 무료로 팩스를...,화곡동
251,보건증 찾으러 갈 때 보건소에서 화요일 3...,의료보건제도
252,답십리봉사활동할곳,답십리동
253,1호선 개봉역을 이용하는데 왜항상 명시된...,"교통, 길찾기"
254,문의드립니다,기타
255,보건증 재발급,의료보건제도
256,저 청소년인데 보건증을 발급받으려하는데...,청소년관련법
257,출생증명서,제신고 민원
258,11월 12월 2017년 1월 대중교통의 날이 언...,기타
259,관평동 운암네오미아 관리사무소 전화번호...,관평동
260,서울 보건소 독감 예방접종 가능하나요?,소아청소년과
261,주민등록증 민증 벌금,주민등록증 발급
262,자동차 등록증 분실,"가족, 개인 민원"
263,쓰레기소각은 어디 담당인가요?불법 소각...,"민원, 행정"
264,청소년증 발급 서류,"가족, 개인 민원"
265,등본 뗄때 학생증,가족관계 증명민원
266,법원에서 출생신고,제신고 민원
267,보건소준비물,의료보건제도
268,하계역에서 양재 하이브랜드,양재동
269,금천구청 유기견 보호소 알려주세요,시흥동
270,[내공100] 서울 문정역에서 동원대까지 가...,문정동
271,선정고등학교,갈현동
272,성북구 보문역에서 성암국제무역고 가는 제...,미아동
273,가족관계증명서,"가족, 개인 민원"
274,여권 주민등록상 주소지에서만 만들수 있나...,"여권, 비자 민원"
275,여권 기간만료됫는데,"여권, 비자 민원"
276,서울 시청에서 15 16 17 장스나요혹시?,정부기관
277,혼인신고 가능 나이,제신고 민원
278,미성년자혼인신고질문입니다,"형벌, 형집행"
279,미성년자 혼인신고,"연애, 결혼"
280,강남구청역 근처에서 새벽1시쯤에 학동 힐...,강남구
281,서울 버스노선 질문여,"시내, 광역 버스"
282,자동차 과태료랑 벌금조회부탁드립니다ㅠㅠ,"민원, 행정"
283,고3 학생 민증사진 과태료 얼마내야할까요...,청소년관련법
284,한 부모 가족 증명서 미성년자 발급,"가족, 개인 민원"
285,어린이대공원에서 상암 mbc 대중교통으로...,"교통, 길찾기"
286,종묘~창경궁~창덕궁~북촌한옥마을~삼청동~...,종로구
287,배움카드랑 문화누리카드 두개 머가 다른가...,평생교육
288,서초구 아동금식가드 꿈나무카드 가맹점,"아동, 청소년 복지"
289,임신 전 검사 다른지역 보건소에서 가능할...,임신
290,보건소가서,"의료기관, 의료인"
291,안녕하세요 주정차위반 구역에서 횡단보도...,안녕동
292,"주민등록증 재발급 신청, 온라인으로는 못...","가족, 개인 민원"
293,주민등록증 발급,주민등록증 발급
294,보건증을 무인민원발급기에서 발급받으려하...,가정의학과
295,청주 청원구청이 ㅇ,청주시
296,꿈나무카드,사회복지
297,대형 폐기물 신고 해서 하는거 동사무소 에...,환경
298,보건증 인터넷발급,"의료기관, 의료인"
299,서울역->소요산역,서울특별시
300,노원구공릉동 쓰레기버리는날,공릉동
301,의정부에서 합정 출퇴근,합정동
302,당정역에서 구로역까지 구로역에서 구일역...,고척동
303,길찾기 서울시 성북구에서 중앙동,성북구
304,서울 종로구 사직동 의 행정동 관련,종로구
305,강동구 암사동(암사역)~장지역 가는 버스...,암사동
306,혹시 반포대교 무지개분수 언제까지하나요?,서울특별시
307,여권발급하는데ᆢᆢ신용에문제있음안되나요...,중국
308,대전광역시 서구 월평동 581번지 301호인데...,대전광역시
309,고척스카이돔,수원역
310,오늘보건소가려하는데 토요일도문여나요?...,"의료기관, 의료인"
311,여권갱신 질문,"여권, 비자 민원"
312,학교를안다니는데 학교안다니면 한달에 얼...,초등학교교육
313,구청 아르바이트 신청,정부기관
314,보건증 질문이요,의료보건제도
315,산전검사 보건소 무료 (신혼부부검사) 신청...,부동산
316,월요일에 청주에서 강남까지 얼마나걸리나...,"교통, 길찾기"
317,강변에서 범계로이동,"교통, 길찾기"
318,지하철 타는법을 모르겠어요(빨리 답변해주...,"교통, 길찾기"
319,밤 11시에 정자역에서 태평역까지 막차있나...,"교통, 길찾기"
320,아동 급식카드 (관악구) 가맹점좀 알고 싶...,신림동
321,신길에서 전경련회관까지 택시,신길동
322,청계등불축제,태평로
323,곤지암에서 잠실역까지 가는  방법 알려주...,잠실동
324,경복궁 창덕궁등 근처 한복대여점 총갯수,"체험관광지, 유적지"
325,서초벼룩시장 언제까지?,서초구
326,청계천 등축제 전시가 언제까지 인가요??,기타
327,김장철인데 도봉구 김장쓰레기 저번처럼 가...,도봉구
328,여권발급하러가니까,"여권, 비자 민원"
329,등축제지금도 하나용 ???? 청계천에서하는...,서울특별시
330,국가암 검진대상 관할보건소 문의,"의료기관, 의료인"
331,보건증발급,의료보건제도
332,지금 led 장미골원 어직도 하나요???,서울특별시
333,창덕궁과창경궁 구경!!!,국내여행
334,도로명 검색 창 자체가 없었어요,네이버사용법
335,임신중 보건증,"법, 법률"
336,보건소 생리진단서,"의료기관, 의료인"
337,"보건증 , 임시신분증",의료보건제도
338,건설기계 등록원부 갑부는 말소완료가 되면...,교통민원
339,법인상호변경시 자동차등록 변경 과태료,교통민원
340,교통유발부담금,교통민원
341,"명동에서 노점을 하고싶은데요, 자리는 어...",명동
342,서울역에서 국기원 까지 가는 법 자세히,강남역
343,서울시 지방세 납부 관련하여 문자 고지를...,태평로
344,고척스카이돔,서울특별시
345,전입신고 및 세대주 변경 방법,제신고 민원
346,청소년 혼자 여권,"여권, 비자 민원"
347,여권수령에 대해 질문드립니다,"개인 신용, 회복"
348,보건증빨리발금,의료보건제도
349,가족관계 증명서에 등록기준지에 관해 질문...,"가족, 개인 민원"
350,문화 누리 카드 가맹점,경주시
351,2016년 서울시청 알바 모집기간,"가족, 이혼"
352,금천구청에서 광명역 가는 방법좀  알려주...,금천구
353,이번에 수학여행을가는데 잠실역2호선지하...,국내여행
354,롯데월드에서 센트럴호남버스터미널가기,"놀이공원, 워터파크"
355,논현역 360번버스,"시내, 광역 버스"
356,무인발급기로 자격득실확인서 뽑을수있나요,국민건강보험
357,동작보건소 정류장(20-153)에서 650번 버스...,"시내, 광역 버스"
358,보건증이요..,"가족, 개인 민원"
359,중화동 동사무소에서 팩스 무료로 보내주나...,중화동
360,서울의 상징물,서울특별시
361,김포공항에서 한림대 강남성심병원 자동차...,비행기
362,민증 벌금 얼마 내야하나요,주민등록증 발급
363,문화누리카드,기타
364,전라북도 익산시에서 서울 상명 대학교 계...,전라북도
365,알바할때 통장,아르바이트
366,창덕궁 가는법,학교생활
367,창덕궁 인터넷 단체예약 방법,"기관, 단체, 인물"
368,급!!!!!내공100!!!!!) 주민등록등본 무인발...,"민원, 행정"
369,민방위훈련 5년차 소집점검 타지역에서 받...,예비군훈련
370,민방위보충교육 질문이요,민방위훈련
371,민방위질문.,민방위훈련
372,민방위훈련요..,민방위훈련
373,금천구 또는 안양 주민센터 연장근무 하는...,서울특별시
374,보건증 인터넷발급,초고속인터넷
375,보건소랑 병원중 어디가 더 싸요??,의료상담
376,보건소가서 검사하려고 하는데,비뇨기과
377,서울 신촌에서 서울구청 보건소 갈려고 하...,신촌
378,의정부 성모병원 가는 길..,"교통, 길찾기"
379,지하철이용,"교통, 길찾기"
380,성신여대에서 센트럴시티터미널 심야버스,"교통, 길찾기"
381,조암에서 사당역까지,"교통, 길찾기"
382,잠실에서 아주대 가는법 질문입니다,"시내, 광역 버스"
383,버스 막차시간,"시내, 광역 버스"
384,주소지가 서울인데,"의료기관, 의료인"
385,빌라 비양심 주차,부동산
386,보건소에서도,"의료기관, 의료인"
387,보건증하고 b형 간염 검사 결과,"의료기관, 의료인"
388,보건증 발급 문의입니다.,"가족, 개인 민원"
389,보건증 찾으러 갈때,의료보건제도
390,헤어샵 보건증,의료보건제도
391,보건증 떼려고 할 때 장티푸스 검사,의료보건제도
392,서울 야간버스운행이요,신림동
393,서울 강남 택시비,강남구
394,강남고속버스터미널에서 강남하늘안과에 지...,삼성동
395,꿈나무카드에 대하여,서울특별시
396,월곡  성북보건소 쓰레기 수거 시간,상월곡동
397,양재시민의숲역에서 광화문까지 택시로 얼...,양재동
398,지금은구로에 살고있고요 지금 임신 2개월...,구로동
399,광명사거리역에서 오목교,목동
400,지하철 개통일?,"교통, 길찾기"
401,한강고수부지(여의도)에서 풍등을 띄울 수...,여의도동
402,롯데월드에 갈때 가져갈 가방,서울특별시
403,아빠가 암등급받으셨어요,사회복지
404,"a형, b형 간염 항체 검사 보건소",서울특별시
405,2017년 1단계 공공근로 신청기간 언제죠?,근로기준
406,여권 만들 때,형사사건
407,미성년자 여권 질문,"여권, 비자 민원"
408,주민등록증 발급할 때 학생증 대신 재학증...,주민등록증 발급
409,주민등록증 분실신고후 찾으면?,주민등록증 발급
410,주민등록증재발급,주민등록증 발급
411,이문동 음식물쓰레기버리는날,"음식, 식재료"
412,쓰레기 무단투기,제신고 민원
413,5개월쯤 지난 구매목록은 어디서 볼수있나...,구매문의
414,문화누리카드,음악사이트
415,문화누리카드 사용중지,기타
416,여성안심택배보관함 우편도보관되나요 ?,우편택배
417,천안에서 용산가는 급행시간 알려주세요,"교통, 길찾기"
418,보건소 독감주사,의료보건제도
419,건강진단서 질문,의료보건제도
420,고1보건증발급,의료보건제도
421,반포 자이 아파트 취득시 해당 등기소는 어...,반포동
422,구로구디지털단지역 근처 주민등록 등본을...,구로동
423,작은빨간집모기에물린것같아요,인체건강상식
424,B형간염 접종1차했는데 2차도 같은병원에...,소화기내과
425,개명 신청할때 다른 시 주민도 서울에 있는...,"가족, 개인 민원"
426,북악산 성곽길 탐방시 사전 예약을 해야 하...,"교통, 길찾기"
427,석촌동 음식물쓰레기통 구입처,석촌동
428,청소년증 혣잭,청소년관련법
429,(내공100)서울 주말(토요일)에 은평구 인근...,녹번동
430,덕수궁 질문,한국사
431,서울에 거의 안가봐서 모르는데요ㅠㅠ 서울...,서울특별시
432,경복궁 한복대여,"놀이공원, 워터파크"
433,주민등록 말소되면 등본을못떼나요??,주민등록증 발급
434,주민등록 등본 초본???,"민원, 행정"
435,상계방면으로 가는 102번 버스가 성신여대...,취미
436,지하철과 버스 막차 시간,"교통, 길찾기"
437,보건증 pc방 출력,의료보건제도
438,보건증 8월에 발급받은 것,의료보건제도
439,신림동 독감예방접종,의료보건제도
440,급하게 보건증을 떼려고하는데 학생증을 잃...,의료보건제도
441,보건증 발급,의료보건제도
442,새벽에 서대문쪽에서 강남 논현까지 차타고...,논현동
443,서울 아차산역에서 언주역을 지하철로 가는...,구의동
444,사당역 강남역 교대역 에서 강남 세브란스...,역삼동
445,제가 대구에사는데 서울여행을 갈려구해요!...,제신고 민원
446,동대문 ddp led 장미공원 점등기간 언제까...,워크래프트
447,천안 서북구보건소로 보건증 끊으려하는데...,의료보건제도
448,동대문 디자인 플라자(DDP) 장미정원 아...,동대문구
449,청소년증 사용처,"아동, 청소년 복지"
450,민방위 2년차,민방위훈련
451,민방위 보충교육 3차를 못 같습니다 11월에...,민방위훈련
452,민방위 교육 질문,민방위훈련
453,자동차등록증 재발급,주민등록증 발급
454,자동차등록증,주민등록증 발급
455,도로명건물번호,건즈더듀얼
456,도로명 주고와 건물번호좀요...,우편
457,서울시청 도서관에 대해서,서울특별시
458,서울시청도서관 통합회원증,서울특별시
459,은평구 동주민센터 공구 빌릴 수 있는 곳...,주민등록증 발급
460,홍제1동 주민센터,안드로이드폰
461,보건증 재발급,의료보건제도
462,타지역 동작구 보건소 이용 건강검진,의료보건제도
463,꿈나무카드(급식카드) 편의점 치킨,음식
464,여권사진을 주민등록증사진으로,주민등록증 발급
465,주민등록증기간,제신고 민원
466,주민등록증 발급일자 선정 기준,"가족, 개인 민원"
467,주민등록증 만드는 기간,"법, 법률"
468,주민등록증 사진,주민등록증 발급
469,운전면허증 주민등록증 분실신고후 취소 가...,신용카드
470,"주민등록증, 운전면허증 분실신고 철회 가...","민원, 행정"
471,민증 발급기간이 언제부터인가요,주민등록증 발급
472,하늘공원에서 음식을 먹을 수 있나요?,음식
473,상암 월드컵경기장 하늘공원,"놀이공원, 워터파크"
474,노원보건소 독감예방 유료접종 ??,기타
475,기초생활수급자 보건증 발급,주민등록증 발급
476,보건소 건강검진 질문있습니다,"의료기관, 의료인"
477,비염간염 항체,의료보건제도
478,강북구보건소 삼각산분소,강북구
479,건강진단서 질문이요,의료보건제도
480,서울역에서 인하대 교통,서울특별시
481,서울 야시장 관련 질문입니다.,서울특별시
482,보건증 발급 문의드립니다.,의료보건제도
483,여성안심택배 서비스,택배
484,여성안심택배보관함 이용방법,우편택배
485,금천구청 무인민원발급기,기타
486,구로구청에서 팩스 이용 가능한가요,자동차보험
487,구청 주말에도 운영하나요?,"경제 기관, 단체"
488,구청에서금연교육가능해요?,제신고 민원
489,보건증을 해놨긴했는데 귀찮아서 받으러 가...,의료보건제도
490,보건증 발급,의료보건제도
491,보건소 보건증 발급기간,의료보건제도
492,경복궁 무료입장,"체험관광지, 유적지"
493,경복궁 한복,"체험관광지, 유적지"
494,옥션 경복궁 야간개장 예매 끝났나요?,국내여행
495,경복궁 한복대여에 대해서,버라이어티프로그램
496,경복궁 야간개장..,"체험관광지, 유적지"
497,"경복궁 개장시간 및 한옥마을, 한복대여 문...","체험관광지, 유적지"
498,정동야행 언제부터 하는거에요??,정동
499,성신여대에서 어드벤처타임 캐릭터샵 가는...,홍대입구
500,지하철 1호선,영등포구
501,상암동 억새축제,상암동
502,오토바이 안타고 못타서,서울특별시
503,영등포역에서 남부초등학교 정류장으로 가...,신림동
504,보건소 독감예방접종,의료보건제도
505,보건소 예방접종 질문,"의료기관, 의료인"
506,영업신고증 발급은 꼭 그 지역 보건소에서...,임대차
507,보건소 인바디,의료보건제도
508,보건증끊는법,"가족, 개인 민원"
509,보건증 관련 질문,경기도
510,보건증 부모님이 가지러 가도되나요,아르바이트
511,보건증 이 궁금합니다,의료보건제도
512,보건증 발급신청하고 발급전에 식당일해도...,의료보건제도
513,서울특별시  송파구,송파동
514,살일동에서 오금역,상일동
515,건물번호를 모르겠습니다.,상계동
516,잠신고등학교에서 경희대학교 택시타고 얼...,서울특별시
517,고척돔에서 홍대,고척동
518,개봉역이나 신도림역에서 강남 세브란스병...,신도림동
519,택시비 문의,강남역
520,건대입구에서 노량진역 막차점알려주세요,건대입구
521,동대문ddp 행사일정,을지로
522,분당에서 홍대 가는 방법 알려주세요~,서교동
523,수서근처에소아병원,"의료기관, 의료인"
524,147막차시간,강남역
525,개봉역이나 신도림역에서 강남 세브란스병...,역삼동
526,경복궁 한복,서울특별시
527,종로구 봉익동 쓰레기 배출일,서울특별시
528,종로3가역에서 혜화역까지,종로구
529,서울 노원구 공릉2동 서울테크노파크 408,공릉동
530,선정고등학교에서 가장 가까운 버스정류장,은평구
531,서울 지하철,서울특별시
532,DDP 장미정원 토요일에도 하나요?,을지로
533,여의도공원 정류장에서 내려서 마포대교 생...,여의도동
534,강동구가 머하는덴죠,서울특별시
535,강변역에서 잠실 까지 가는 법(지하철),잠실동
536,보건증 발급,주민등록증 발급
537,보건증 질문,의료보건제도
538,보건증 떼는데 얼마 드나요?,의료보건제도
539,아르바이트 때문에 받는 보건증 발급은 보...,아르바이트
540,보건증 안찾으러간지..1년 가까이 되는데,의료보건제도
541,보건증에 관해서,의료보건제도
542,확정일자명부 서류,"부동산, 건축 민원"
543,011024여잔대요지금나이에도혼인신고가능한...,사람과 그룹
544,보건증 유효기간에 대해서 궁금합니다.,의료보건제도
545,은평구 역촌동 평화공원 벼룩시장은 언제...,서울특별시
546,용산구 보건분소 인바디검사 가능한가요?,용산구
547,경복국 야간개장 ㅠㅠ,국내여행
548,보건증을 신청하고 받으러 안갔는데 다시...,의료보건제도
549,보건증 검사했었는데 재발급 어떻게하죠??,의료보건제도
550,보건증 재발급 질문,의료보건제도
551,한강 야시장,서울여행
552,한강야시장언제까지하나요 28일 금요일 이...,한강로
